CDTA2020,annee_fin_observation,# of Dwelling Units,Infested Dwelling Unit Count,Eradicated Unit Count,Re-infested  Dwelling Unit Count,taux_infestation,taux_eradication,taux_reinfestation,Borough,pop_num,population_density,pop_pov_pct,pop_pov_u18_pct,pop_65p_pct,unit_num,unit_occ_own_pct,rent_burden_med,med_r_1f,med_r_4f,med_r_cn,med_r_ot,rent_gross_med_adj
MN12,2020,71439.0,533.0,428.0,36.0,0.007785366492935736,0.006302390092255889,0.0004523281686164957,MANHATTAN,180206.0,,,,,,,,2753970.0,897320.0,612310.0,180500.0,
MN12,2021,72867.0,247.0,242.0,13.0,0.00322924305141532,0.003147187792946775,9.333168408727865e-05,MANHATTAN,180206.0,,,,,,,,2753970.0,881270.0,594630.0,184190.0,
MN12,2022,73466.0,243.0,229.0,11.0,0.003976211035515265,0.0038348353603952644,0.00018910676204980848,MANHATTAN,180206.0,,,,,,,,1254960.0,610740.0,622940.0,205110.0,
MN12,2023,75772.0,202.0,195.0,13.0,0.0027259605906961755,0.002630756547017881,0.00021453843811584963,MANHATTAN,180206.0,,,,,,,,106.0,675000.0,550000.0,125500.0,
MN12,2024,61801.0,206.0,199.0,3.0,0.0035436950601755953,0.003469103417073237,4.497270701528056e-05,MANHATTAN,180206.0,,,,,,,,106.0,675000.0,550000.0,125500.0,
QN01,2018,35930.0,305.0,294.0,23.0,0.009050281717482102,0.008237802243463224,0.001039065343940519,QUEENS,160871.0,312.0,0.139,0.20600000000000002,0.133,88625.0,0.20199999999999999,28.3,1037280.0,632490.0,682500.0,359320.0,2000.0
QN01,2019,24543.0,202.0,191.0,23.0,0.006004734661826054,0.005879535903104303,0.0005060005056232842,QUEENS,166069.0,322.0,0.11599999999999999,0.171,0.13699999999999998,90017.0,0.18899999999999997,27.3,1078000.0,664160.0,716540.0,331000.0,2060.0
QN01,2020,51493.0,298.0,278.0,98.0,0.007923693213410257,0.007126092032998508,0.004319530862237811,QUEENS,156981.0,305.0,0.14,0.188,0.139,95762.0,0.18899999999999997,27.8,1024310.0,643420.0,689440.0,330400.0,2200.0
QN01,2021,51478.0,232.0,222.0,39.0,0.004430403173943823,0.004155209065691927,0.0023315257140038037,QUEENS,156981.0,305.0,0.14,0.188,0.139,95762.0,0.18899999999999997,27.8,1068540.0,605870.0,660950.0,290090.0,1970.0
QN01,2022,56691.0,194.0,181.0,41.0,0.004375565680594176,0.0034945714846236916,0.0019104403620124636,QUEENS,177115.0,344.0,0.161,0.18600000000000003,0.139,101045.0,0.188,28.2,1033040.0,596980.0,648010.0,268210.0,2020.0
QN01,2023,59322.0,156.0,146.0,38.0,0.003744868734641046,0.00344642657700869,0.0019327918712637923,QUEENS,177115.0,344.0,0.161,0.18600000000000003,0.139,101045.0,0.188,28.2,1025000.0,536670.0,717000.0,229170.0,2020.0
QN01,2024,49502.0,98.0,85.0,12.0,0.0031368121291103306,0.0022420049656793955,0.0008595469073410249,QUEENS,177115.0,344.0,0.161,0.18600000000000003,0.139,101045.0,0.188,28.2,1025000.0,536670.0,717000.0,229170.0,2020.0
QN02,2018,28870.0,463.0,458.0,54.0,0.013170773349043947,0.012962440015710614,0.0014638015774074337,QUEENS,137490.0,23.0,0.078,0.08900000000000001,0.126,62542.0,0.307,30.1,881130.0,586590.0,958790.0,337670.0,2030.0
QN02,2019,29247.0,324.0,293.0,29.0,0.01784402142051599,0.012990663277684165,0.0011213897784151806,QUEENS,136058.0,227.0,0.092,0.076,0.133,64250.0,0.267,28.0,966580.0,571460.0,1041820.0,347270.0,2110.0
QN02,2020,65599.0,406.0,401.0,41.0,0.007829219179987176,0.0071823780983634854,0.002650969955834823,QUEENS,149487.0,25.0,0.08900000000000001,0.06,0.131,72484.0,0.253,28.5,1012930.0,579450.0,1011810.0,220800.0,2150.0
QN02,2021,85637.0,392.0,392.0,61.0,0.005774883159975672,0.005774883159975672,0.00213105104699537,QUEENS,149487.0,25.0,0.08900000000000001,0.06,0.131,72484.0,0.253,28.5,958380.0,549420.0,1110360.0,257040.0,2020.0
QN02,2022,72596.0,273.0,267.0,67.0,0.009323596887389964,0.009145312087394636,0.0061066442033991955,QUEENS,125926.0,21.0,0.115,0.096,0.102,64029.0,0.233,28.4,933890.0,524310.0,1033040.0,240710.0,2050.0
QN02,2023,78480.0,194.0,181.0,23.0,0.00464446649224533,0.0040731095643186934,0.0015748091835104633,QUEENS,125926.0,21.0,0.115,0.096,0.102,64029.0,0.233,28.4,899000.0,499500.0,1095000.0,199170.0,2050.0
QN02,2024,59079.0,90.0,84.0,12.0,0.002927282619000932,0.0025782720893860276,0.0010221900983412822,QUEENS,125926.0,21.0,0.115,0.096,0.102,64029.0,0.233,28.4,899000.0,499500.0,1095000.0,199170.0,2050.0
QN03,2018,18721.0,343.0,326.0,39.0,0.016158571418969477,0.014206299382404678,0.0021326220522838234,QUEENS,181787.0,434.0,0.134,0.195,0.114,65316.0,0.361,35.4,847240.0,500100.0,563650.0,322890.0,1890.0
QN03,2019,15747.0,233.0,213.0,24.0,0.012013874449773232,0.00942661294856892,0.0009245763066056464,QUEENS,175275.0,419.0,0.15,0.282,0.14800000000000002,65006.0,0.345,33.8,891340.0,506440.0,553660.0,318340.0,1910.0
QN03,2020,28253.0,201.0,185.0,30.0,0.009382839149663926,0.008338378461826237,0.004674526508587643,QUEENS,153743.0,367.0,0.13699999999999998,0.18100000000000002,0.149,60698.0,0.389,35.5,849610.0,515480.0,565650.0,156790.0,1840.0
QN03,2021,30799.0,130.0,126.0,33.0,0.00787850216868118,0.007630531434994515,0.00490258831220842,QUEENS,153743.0,367.0,0.13699999999999998,0.18100000000000002,0.149,60698.0,0.389,35.5,915700.0,501220.0,528760.0,238680.0,1850.0
QN03,2022,35644.0,148.0,135.0,39.0,0.008990997574868164,0.008252680815745069,0.005968711189769415,QUEENS,162686.0,389.0,0.156,0.242,0.145,59315.0,0.36200000000000004,32.2,895990.0,499650.0,518080.0,536650.0,1910.0
QN03,2023,34402.0,121.0,110.0,25.0,0.00658145849373623,0.005965792320326115,0.003861889407492013,QUEENS,162686.0,389.0,0.156,0.242,0.145,59315.0,0.36200000000000004,32.2,810600.0,475000.0,464000.0,235000.0,1910.0
QN03,2024,18839.0,76.0,72.0,5.0,0.0037435411704922366,0.0036020017037315306,0.0001650512712459615,QUEENS,162686.0,389.0,0.156,0.242,0.145,59315.0,0.36200000000000004,32.2,810600.0,475000.0,464000.0,235000.0,1910.0
QN04,2018,21393.0,636.0,615.0,48.0,0.02459152186430971,0.02179426811254211,0.0038517391783693443,QUEENS,150131.0,416.0,0.129,0.17300000000000001,0.113,48857.0,0.24,37.1,941370.0,505990.0,540110.0,270640.0,1870.0
QN04,2019,18816.0,534.0,527.0,111.0,0.012089601332897288,0.011789777035708535,0.0024205109536163173,QUEENS,156074.0,433.0,0.102,0.146,0.121,48372.0,0.23600000000000002,31.5,949220.0,503550.0,554820.0,267790.0,1890.0
QN04,2020,31463.0,392.0,371.0,97.0,0.01386343061589203,0.011634247935574544,0.008287221017263785,QUEENS,137364.0,381.0,0.146,0.171,0.154,48614.0,0.248,35.2,1007240.0,512160.0,614210.0,278840.0,1920.0
QN04,2021,33477.0,247.0,237.0,54.0,0.008380672053576815,0.0073774042806279225,0.004323872116765919,QUEENS,137364.0,381.0,0.146,0.171,0.154,48614.0,0.248,35.2,936350.0,514080.0,523260.0,236050.0,1870.0
QN04,2022,34546.0,309.0,209.0,67.0,0.011092313869688833,0.008487590905736895,0.007440338373339921,QUEENS,160534.0,445.0,0.179,0.292,0.154,56790.0,0.257,35.5,903260.0,512190.0,598310.0,199180.0,1830.0
QN04,2023,34679.0,194.0,162.0,41.0,0.008965186297914877,0.006393169837009528,0.004579131871256208,QUEENS,160534.0,445.0,0.179,0.292,0.154,56790.0,0.257,35.5,878000.0,466670.0,429000.0,295990.0,1830.0
QN04,2024,22817.0,101.0,96.0,10.0,0.005172855734535737,0.005078800053572607,0.002292222077783801,QUEENS,160534.0,445.0,0.179,0.292,0.154,56790.0,0.257,35.5,878000.0,466670.0,429000.0,295990.0,1830.0
QN05,2018,6111.0,62.0,60.0,7.0,0.008597389286912813,0.008290606600612054,0.0015618027666220438,QUEENS,186441.0,254.0,0.098,0.121,0.13,69027.0,0.39,29.3,835470.0,491280.0,550120.0,280450.0,1850.0
QN05,2019,6390.0,54.0,53.0,3.0,0.007486615625908594,0.007409168290096946,0.0006815365551425032,QUEENS,165895.0,226.0,0.084,0.098,0.141,64322.0,0.40700000000000003,29.4,843880.0,487920.0,566060.0,282160.0,1930.0
QN05,2020,20083.0,147.0,135.0,61.0,0.007618353030409524,0.006650545369447829,0.003949455699150076,QUEENS,168184.0,229.0,0.139,0.21899999999999997,0.146,68588.0,0.39799999999999996,33.0,842210.0,483700.0,568950.0,250390.0,1960.0
QN05,2021,21420.0,81.0,67.0,28.0,0.004711787968548764,0.00366982528975744,0.001730684222159073,QUEENS,168184.0,229.0,0.139,0.21899999999999997,0.146,68588.0,0.39799999999999996,33.0,848220.0,484700.0,545290.0,233170.0,1930.0
QN05,2022,22200.0,111.0,108.0,75.0,0.00597484670848942,0.005684931131905321,0.0045458762408386675,QUEENS,175992.0,24.0,0.113,0.145,0.163,72203.0,0.387,27.9,844080.0,477590.0,518700.0,219540.0,1900.0
QN05,2023,24164.0,70.0,47.0,22.0,0.003259534877363535,0.001901174788452693,0.0010702231003539967,QUEENS,175992.0,24.0,0.113,0.145,0.163,72203.0,0.387,27.9,792000.0,453250.0,499000.0,192250.0,1900.0
QN05,2024,11670.0,23.0,23.0,1.0,0.0019741285838710252,0.0019741285838710252,9.33184023889511e-05,QUEENS,175992.0,24.0,0.113,0.145,0.163,72203.0,0.387,27.9,792000.0,453250.0,499000.0,192250.0,1900.0
QN06,2018,36878.0,149.0,145.0,9.0,0.003822713352487042,0.00372114566626038,0.0002658136331705908,QUEENS,118105.0,421.0,0.081,0.109,0.23,56937.0,0.52,29.3,1186450.0,500100.0,694810.0,12600.0,2070.0
QN06,2019,33003.0,91.0,90.0,0.0,0.00414596314778728,0.004123440625264757,0.0,QUEENS,105586.0,377.0,0.111,0.09300000000000001,0.19,53881.0,0.51,27.4,1099700.0,622200.0,801900.0,376210.0,2060.0
QN06,2020,43706.0,89.0,88.0,1.0,0.001245459835245938,0.0012362262249042944,1.3066429728740919e-05,QUEENS,126028.0,45.0,0.086,0.037000000000000005,0.22399999999999998,58689.0,0.479,28.1,1135850.0,568490.0,654420.0,262680.0,2120.0
QN06,2021,49853.0,84.0,82.0,5.0,0.002299259795590464,0.002269016417405121,0.0013434089186311947,QUEENS,126028.0,45.0,0.086,0.037000000000000005,0.22399999999999998,58689.0,0.479,28.1,1099390.0,484700.0,605870.0,360140.0,2020.0
QN06,2022,44397.0,123.0,67.0,3.0,0.00251459402301091,0.0011881070739308928,3.211205458264143e-05,QUEENS,128592.0,459.0,0.106,0.114,0.212,58588.0,0.447,33.8,1107270.0,515650.0,558190.0,276320.0,1900.0
